Sample_ID,Species,ST,AMR_genes,Predicted_resistance,Collection_Date,Site
S001,Klebsiella pneumoniae,ST258,blaKPC-2; blaSHV-11; blaTEM-1; aac(6')-Ib,Carbapenem; Aminoglycoside,2024-01-12,Hospital A
S002,Klebsiella pneumoniae,ST258,blaKPC-3; blaSHV-11; oqxA; oqxB,Carbapenem; Fluoroquinolone,2024-01-15,Hospital A
S003,Escherichia coli,ST131,blaCTX-M-15; blaOXA-1; aac(6')-Ib-cr; tet(A),Cephalosporin; Tetracycline,2024-02-02,Hospital B
S004,Escherichia coli,ST131,blaCTX-M-15; sul1; dfrA17,Cephalosporin; Trimethoprim,2024-02-08,Hospital B
S005,Acinetobacter baumannii,ST2,blaOXA-23; blaOXA-66; armA; sul2,Carbapenem; Aminoglycoside,2024-02-20,Hospital A
S006,Acinetobacter baumannii,ST2,blaOXA-72; blaOXA-66,Carbapenem,2024-03-01,Hospital C
S007,Pseudomonas aeruginosa,ST235,blaVIM-2; aac(6')-Ib; sul1,Carbapenem; Aminoglycoside,2024-03-11,Hospital C
S008,Klebsiella pneumoniae,ST11,blaNDM-1; blaCTX-M-15; blaSHV-11; rmtB,Carbapenem; Aminoglycoside,2024-03-19,Hospital B
S009,Escherichia coli,ST69,,,2024-04-02,Hospital A
S010,Acinetobacter baumannii,ST2,blaOXA-23,Carbapenem,2024-04-10,Hospital A
S010,Acinetobacter baumannii,ST2,blaOXA-72,Carbapenem,2024-04-10,Hospital A
S011,Enterobacter cloacae,ST114,blaACT-7; blaNDM-1; fosA,Carbapenem; Fosfomycin,2024-04-22,Hospital C
